[2026-05-24T15:20:58.621Z] GET http://localhost:3000/ → 200 (158ms, ?B)
[2026-05-24T15:20:58.965Z] GET https://fonts.googleapis.com/css2?family=Geist:wght@300;400;500;600;700&family=Geist+Mono:wght@400;500&display=swap → pending (?ms, ?B)
[2026-05-24T15:20:58.965Z] GET https://cdn.tailwindcss.com/ → pending (?ms, ?B)
[2026-05-24T15:20:58.965Z] GET https://picsum.photos/seed/atmosphere-hero/900/720 → pending (?ms, ?B)
[2026-05-24T15:20:58.965Z] GET http://localhost:3000/partners%20logos/Full%20white%20logo.png → pending (?ms, ?B)
[2026-05-24T15:20:58.965Z] GET http://localhost:3000/partners%20logos/Flowith-Ai-Logo-PNG-SVG-Vector.png → pending (?ms, ?B)
[2026-05-24T15:20:58.966Z] GET http://localhost:3000/partners%20logos/magic_group_linkdn_logo-removebg-preview.png → pending (?ms, ?B)
[2026-05-24T15:20:58.966Z] GET http://localhost:3000/partners%20logos/ImagineLogo-White.avif → pending (?ms, ?B)
[2026-05-24T15:20:58.969Z] GET http://localhost:3000/partners%20logos/6654920a6d9d4790ad4ba7e1_HashMatrix%20Square%20Yellow%20Transparent.svg → pending (?ms, ?B)
[2026-05-24T15:20:58.970Z] GET http://localhost:3000/partners%20logos/1682566066filmora-logo-png.png → pending (?ms, ?B)
[2026-05-24T15:20:58.973Z] GET http://localhost:3000/partners%20logos/cropped-site-logo.png → pending (?ms, ?B)
[2026-05-24T15:20:58.973Z] GET http://localhost:3000/partners%20logos/14c9e8f8e6c14b4d3109d0878f0cf5e6.png → pending (?ms, ?B)
[2026-05-24T15:20:58.974Z] GET http://localhost:3000/partners%20logos/download-removebg-preview.png → pending (?ms, ?B)
[2026-05-24T15:20:58.974Z] GET http://localhost:3000/partners%20logos/ChatGPT_Image_May_21__2026__03_56_17_PM-removebg-preview.png → pending (?ms, ?B)
[2026-05-24T15:20:58.974Z] GET http://localhost:3000/partners%20logos/images-removebg-preview.png → pending (?ms, ?B)
[2026-05-24T15:20:58.974Z] GET http://localhost:3000/partners%20logos/30a1d24fd744ae005b840bc3ef9426ed_fgraphic-removebg-preview.png → pending (?ms, ?B)
[2026-05-24T15:20:58.979Z] GET http://localhost:3000/partners%20logos/full-iv-black.svg → pending (?ms, ?B)
[2026-05-24T15:20:58.988Z] GET https://picsum.photos/seed/atmosphere-grid/1200/750 → pending (?ms, ?B)
[2026-05-24T15:20:58.988Z] GET https://picsum.photos/seed/levana-lucid/800/1066 → pending (?ms, ?B)
[2026-05-24T15:20:58.990Z] GET https://picsum.photos/seed/quiet-index/700/875 → pending (?ms, ?B)
[2026-05-24T15:20:58.990Z] GET https://picsum.photos/seed/morrow-skin/700/875 → pending (?ms, ?B)
[2026-05-24T15:20:58.990Z] GET https://picsum.photos/seed/hermes-carre/700/875 → pending (?ms, ?B)
[2026-05-24T15:20:58.990Z] GET https://picsum.photos/seed/field-notes/1000/625 → pending (?ms, ?B)
